student_id,gender,study_hours_per_day,social_media_hours,part_time_job,attendance_percentage,sleep_hours,mental_health_rating,exam_score
S1371,Male,0.8,1.4,Yes,76.5,7.5,10,36
S1372,Female,4,3.2,No,77.4,6.4,3,68.4
S1373,Male,3.3,1.4,No,75.2,6.5,7,72.9
S1374,Male,2.8,2,Yes,82.3,6.3,6,57.3
S1375,Male,1.1,2.1,Yes,97.3,8,1,50.3
S1376,Female,4.3,3.7,No,76.9,5,4,65.7
S1377,Female,2.7,3.6,No,86.9,7.2,6,67.9
S1378,Male,1.7,1,No,78.4,7.8,6,63.6
S1379,Male,0,2.6,No,82.4,7.4,3,32.9
S1380,Male,3.5,1.6,No,69.9,9.3,6,67.7
S1381,Female,6.2,1,No,82.8,5.9,10,100
S1382,Male,6,2.2,Yes,83.1,7.6,6,96.8
S1383,Male,2.8,2.1,No,90.4,6.4,9,71
S1384,Female,2.6,5.4,No,87.2,8,9,59.8
S1385,Male,4.2,3,No,73,6.5,2,64.2
S1386,Female,2,0.8,No,95.8,6,4,45.2
S1387,Male,4,1.8,No,87.1,8.1,9,82.9
S1388,Male,4.6,3.7,No,87,5.9,4,73.2
S1389,Male,5.3,5,No,84.9,4.8,8,79.6
S1390,Female,3.3,0.6,Yes,79.8,5.9,10,73
S1391,Female,3.2,0.2,Yes,87.2,7.2,3,72.6
S1392,Female,2.2,4.7,No,89.8,8.2,3,45.2
S1393,Male,2.3,3,No,67.5,6.6,9,51.8
S1394,Female,3.2,1.5,No,79.6,8.1,10,92
S1395,Male,4.1,3.1,No,82.5,4.9,8,77.8
S1396,Male,4.9,0,Yes,87.6,6,1,97.2
S1397,Female,2.3,2.5,Yes,96.9,6.2,10,71.9
S1398,Male,5.7,2.9,No,77.3,6.4,2,69.1
S1399,Male,3.1,3.6,No,80,6.6,3,59.6
S1400,Male,3.5,1.3,No,79.9,7.3,2,60.4
S1401,Male,2.4,2.6,No,77,6,3,48.3
S1402,Male,0,1.4,No,81.5,6.7,8,50.1
S1403,Female,4.8,2.8,No,92.7,6.4,6,74.9
S1404,Male,4.6,1.4,Yes,74.5,5.4,7,85.6
S1405,Female,3.1,2,No,89.3,6.4,10,65.4
S1406,Female,3.6,1.3,No,68,6.3,10,82.4
S1407,Male,4.3,3.3,No,79.4,6.3,6,67.3
S1408,Male,1.2,3.5,No,81.7,6.5,1,34.3
S1409,Male,2.7,2.2,No,100,6.6,3,53
S1410,Female,4.7,2.5,No,82.3,6,1,78
S1411,Male,1.6,0.8,Yes,63,8,10,58.2
S1412,Female,3.9,2.1,No,65,5.1,9,73.7
S1413,Male,1.5,2.4,Yes,85.3,5.6,9,60.3
S1414,Female,4.2,5.6,No,91.1,9.8,5,78.7
S1415,Male,3.4,1.2,Yes,88.8,5.3,4,68.3
S1416,Male,1.1,4.3,No,86.7,4.9,9,49.9
S1417,Female,5.2,3.7,No,96.6,7.4,9,100
S1418,Female,2.4,2.8,No,79.6,4,3,54.7
S1419,Male,2.3,4.6,No,93.9,6.2,5,58.7
S1420,Female,3.8,2.9,Yes,68.7,9.1,3,70.8
S1421,Female,5.2,3,No,76,4.6,10,87.1
S1422,Female,2,2.4,No,66.9,4.1,2,29.5
S1423,Female,3.6,4,No,82.3,4.7,1,53.2
S1424,Male,4.1,3.8,Yes,84.5,7.6,10,73
S1425,Male,4.5,1.7,No,86.1,7.8,2,71.1
S1426,Male,3.8,0.9,No,85.6,5.9,8,80.9
S1427,Female,2.9,2.3,Yes,75.7,7.3,8,75.1
S1428,Female,2.3,1.5,No,83.1,8.2,3,52.4
S1429,Male,3.6,2.4,No,70,8.6,7,67.6
S1430,Male,1.9,4,No,98.6,6.2,7,35.7
S1431,Female,0,2,No,82,3.7,2,29.9
S1432,Other,4.2,2.4,No,80.1,5.5,9,70.7
S1433,Female,4.9,2.6,No,100,6,3,89.3
S1434,Male,0,3.5,No,72.6,6.2,2,26.2
S1435,Male,2,0,No,73.7,6.3,3,58.3
S1436,Male,4.4,1.8,No,74,7.8,2,78.4
S1437,Female,6.6,2.8,No,84.3,8,8,100
S1438,Male,3.5,3.9,No,89.3,6.3,5,66.8
S1439,Female,2.4,1.9,No,92.4,7.8,3,63.8
S1440,Male,3.2,0.2,No,100,6.9,5,76.1
S1441,Female,5.6,3.2,No,62.5,6.6,8,82.7
S1442,Female,2.5,1.7,No,91.1,7.6,7,65
S1443,Female,2.3,1.1,Yes,79.4,6.6,6,66.8
S1444,Male,2.8,1.8,No,79.1,9,1,64.9
S1445,Male,2.1,2.3,No,78.8,4.8,10,63.1
S1446,Male,3.7,1.8,Yes,75.9,5.9,1,56.3
S1447,Female,5.9,0,No,100,6.3,1,93.6
S1448,Female,4,3.6,No,93.4,7,10,91.9
S1449,Female,3.1,4,No,85.2,8,8,74
S1450,Female,3.1,3.3,No,98.5,6.5,8,62.7
S1451,Female,1.2,1.1,No,69.9,4.8,7,58.6
S1452,Male,4.8,2.3,Yes,71.7,7.5,6,89.3
S1453,Female,3.4,2.5,No,63.2,7.4,4,63.4
S1454,Male,3.2,3.2,Yes,78,4.2,1,46.7
S1455,Male,8.3,3.3,Yes,86.6,6.5,9,100
S1456,Female,3.9,1.6,Yes,86,4.6,1,68.7
S1457,Male,2.4,2.6,No,86.5,5.7,4,58.9
S1458,Male,2.9,3,No,70.9,5.4,3,59
S1459,Female,5.2,4.2,Yes,93,7.5,7,77.9
S1460,Male,3.7,3.3,Yes,87.4,6.6,5,72.3
